Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=32>(float*, float*)",3,344033,8,256,0,1156000000,100,0.383,12.5,0.233,127604,37.798,92,0.369,74.85,0.11,42997,4624000000,87381,7515000000,1,1,2774,11096,18031,1387,0,127604
"void sumKernelStr2<int=32>(float*, float*)",3,410954,8,256,0,1900000000,50,0.394,12.5,0.194,141474,22.049,102,0.333,77.186,0.111,41610,6175000000,87381,10925000000,1.857,1.769,2774,9709,18031,1387,20805,141474
