Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",104332830,320832,,,,,,,,,,2097152,6536604827,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=512>(float*, float*)",104657605,1621804,512,1,1,512,1,1,8,4096,0,,,2826729460,50,4.425,12.5,0.454,1238528,21.112,151.188,1.03,99.806,0.976,361472,9849471728,523776,16916209114,4.288,5.247,16384,26624,37376,512,238080,1238528
"void sumKernelStr2<int=512>(float*, float*)",106280297,5993,1,1,1,256,1,1,8,4096,0,,,584474885,50,0.308,12.5,0.075,1107,21.171,138.375,0.23,67.283,0.166,322,2027397260,511,3488584474,3.964,4.659,16,28,41,1,225,1107
"Memcpy DtoH [sync]",106411456,928,,,,,,,,,,4,4310344,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",110574373,321056,,,,,,,,,,2097152,6532044253,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=512>(float*, float*)",110898805,982511,512,1,1,512,1,1,8,4096,0,,,2620476974,100,7.223,12.5,0.84,1091072,90.736,133.188,1.686,99.642,0.956,369664,5568513571,523776,5977963098,1,1,16384,34816,37376,512,0,1091072
"void sumKernelStr3<int=512>(float*, float*)",111882194,3299,1,1,1,256,1,1,8,4096,0,,,479064327,100,0.456,12.5,0.108,979,83.036,122.375,0.377,52.606,0.166,330,1077894736,511,1227602339,1,1,16,36,41,1,0,979
"Memcpy DtoH [sync]",112003814,1408,,,,,,,,,,4,2840909,,,,,,,,,,,,,,,,,,,,,,,
