Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=512>(float*, float*)",2,247940,8,4096,0,2591000000,100,3.601,12.5,0.446,272991,80.854,122.469,0.948,75.223,0.519,92491,5507000000,131071,5912000000,1,1,4100,8714,9356,128,0,272991
"void sumKernelStr2<int=512>(float*, float*)",2,408243,8,4096,0,2813000000,50,2.24,12.5,0.249,309883,21.202,138.469,0.591,80.733,0.529,90441,9802000000,131071,16836000000,3.863,4.523,4100,6664,9356,128,59572,309883
