Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",94258130,1302525,,,,,,,,,,4194304,3220133202,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=1024>(float*, float*)",95564546,6252564,512,1,1,1024,1,1,8,8192,0,,,1425206867,50,2.038,12.5,0.229,2688512,21.082,164.094,0.571,98.679,0.662,787456,4977111355,1048064,8540106777,4.47,5.599,32768,51200,70144,512,483840,2688512
"void sumKernelStr2<int=1024>(float*, float*)",101818109,5986,1,1,1,256,1,1,8,8192,0,,,591565569,50,0.308,12.5,0.075,1107,21.171,138.375,0.23,59.114,0.166,322,2051993067,511,3530906990,3.964,4.659,16,28,41,1,225,1107
"Memcpy DtoH [sync]",102018146,928,,,,,,,,,,4,4310344,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",107490863,1298525,,,,,,,,,,4194304,3230052559,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=1024>(float*, float*)",108792774,2907402,512,1,1,1024,1,1,8,8192,0,,,1666955070,100,4.193,12.5,0.535,2360832,95.144,144.094,1.191,97.17,0.657,803840,3438094833,1048064,3568325697,1,1,32768,67584,70144,512,0,2360832
"void sumKernelStr3<int=1024>(float*, float*)",111701210,3304,1,1,1,256,1,1,8,8192,0,,,479400749,100,0.519,12.5,0.108,979,83.036,122.375,0.364,52.574,0.166,330,1078651685,511,1228464419,1,1,16,36,41,1,0,979
"Memcpy DtoH [sync]",111901273,1568,,,,,,,,,,4,2551020,,,,,,,,,,,,,,,,,,,,,,,
