Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=512>(float*, float*)",2,492905,8,4096,0,2612000000,100,3.839,12.5,0.474,546025,86.886,127.781,1.032,76.124,0.561,184997,5552000000,262143,5961000000,1,1,8200,17426,18708,256,0,546025
"void sumKernelStr2<int=512>(float*, float*)",2,813898,8,4096,0,2817000000,50,2.367,12.5,0.264,619817,21.142,144.781,0.63,83.545,0.571,180897,9820000000,262143,16866000000,4.126,4.953,8200,13326,18708,256,119152,619817
