Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",106761260,1110585,,,,,,,,,,4194304,3776661849,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=32>(float*, float*)",107875708,4834165,16384,1,1,32,1,1,8,256,0,,,1909190305,50,0.552,12.5,0.302,1671168,22.049,102,0.47,99.934,0.157,491520,6204868492,1032192,10977844255,1.857,1.769,32768,114688,212992,16384,245760,1671168
"void sumKernelStr2<int=32>(float*, float*)",112710704,76707,256,1,1,32,1,1,8,256,0,,,1837930309,50,0.547,12.5,0.283,26112,22.049,102,0.463,95.904,0.157,7680,5973273504,16128,10568099277,1.857,1.769,512,1792,3328,256,3840,26112
"void sumKernelStr2<int=32>(float*, float*)",112788248,2874,4,1,1,32,1,1,8,256,0,,,524590163,50,0.205,12.5,0.057,408,22.049,102,0.179,49.007,0.084,120,1704918032,252,3016393442,1.857,1.769,8,28,52,4,60,408
"void sumKernelStr2<int=32>(float*, float*)",112791951,1446,1,1,1,2,1,1,8,256,0,,,88397790,6.25,0.027,12.5,0.001,50,4.861,50,0.035,42.829,0.021,14,176795580,3,220994475,1.333,1,2,3,5,1,0,50
"Memcpy DtoH [sync]",112933275,928,,,,,,,,,,4,4310344,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",117324553,1090141,,,,,,,,,,4194304,3847487618,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=32>(float*, float*)",118418124,4044704,16384,1,1,32,1,1,8,256,0,,,1162596165,100,0.529,12.5,0.368,1507328,37.798,92,0.516,99.92,0.155,507904,4650384662,1032192,7556875077,1,1,32768,131072,212992,16384,0,1507328
"void sumKernelStr3<int=32>(float*, float*)",122463659,64135,256,1,1,32,1,1,8,256,0,,,1110873802,100,0.524,12.5,0.341,23552,37.798,92,0.504,95.049,0.155,7936,4443495211,16128,7220679718,1,1,512,2048,3328,256,0,23552
"void sumKernelStr3<int=32>(float*, float*)",122528630,2504,4,1,1,32,1,1,8,256,0,,,292237442,100,0.164,12.5,0.057,368,37.798,92,0.187,49.371,0.083,124,1168949771,252,1899543378,1,1,8,32,52,4,0,368
"void sumKernelStr3<int=32>(float*, float*)",122531963,1392,1,1,1,2,1,1,8,256,0,,,91954022,6.25,0.027,12.5,0.001,48,4.861,48,0.035,41.946,0.021,15,183908045,3,229885057,1,1,2,4,5,1,0,48
"Memcpy DtoH [sync]",122641361,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
