Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=128>(float*, float*)",3,282585,8,1024,0,3093000000,70.833,2.257,12.5,0.463,306363,49.919,94.167,0.924,65.897,0.424,102806,7733000000,174762,9666000000,1,1,5483,13708,17135,685,0,306363
"void sumKernelStr2<int=128>(float*, float*)",3,394541,8,1024,0,3944000000,37.5,1.732,12.5,0.314,344743,16.793,104.833,0.701,69.339,0.428,100064,13560000000,174762,23422000000,2.708,2.867,5483,10966,17135,685,71960,344743
