Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=128>(float*, float*)",3,142322,8,1024,0,3062000000,68.75,1.63,12.5,0.405,153188,48.935,90.5,0.798,62.586,0.321,51405,7656000000,87381,9571000000,1,1,2742,6854,8568,343,0,153188
"void sumKernelStr2<int=128>(float*, float*)",3,198702,8,1024,0,3910000000,35.417,1.171,12.5,0.267,172378,15.815,100.5,0.582,67.405,0.329,50034,13443000000,87381,23220000000,2.736,2.867,2742,5483,8568,343,35980,172378
