Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",103108525,321422,,,,,,,,,,2097152,6524606280,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=1024>(float*, float*)",103433774,3127000,256,1,1,1024,1,1,8,8192,0,,,1424680166,50,2.04,12.5,0.229,1344256,21.082,164.094,0.571,98.633,0.662,393728,4975293746,524032,8536950685,4.47,5.599,16384,25600,35072,256,241920,1344256
"void sumKernelStr2<int=1024>(float*, float*)",106561773,4525,1,1,1,128,1,1,8,8192,0,,,399375975,50,0.167,12.5,0.045,503,21.292,125.75,0.152,60.795,0.083,146,1372854914,255,2371294851,3.438,3.8,8,16,25,1,105,503
"Memcpy DtoH [sync]",106855513,896,,,,,,,,,,4,4464285,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",111387321,321230,,,,,,,,,,2097152,6528506054,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=1024>(float*, float*)",111711866,1455349,256,1,1,1024,1,1,8,8192,0,,,1663747452,100,4.197,12.5,0.534,1180416,95.144,144.094,1.188,97.065,0.657,401920,3431479120,524032,3561459390,1,1,16384,33792,35072,256,0,1180416
"void sumKernelStr3<int=1024>(float*, float*)",113168219,2955,1,1,1,128,1,1,8,8192,0,,,285714285,100,0.198,12.5,0.057,447,70.972,111.75,0.22,50.043,0.083,150,714285714,255,892857142,1,1,8,20,25,1,0,447
"Memcpy DtoH [sync]",113345514,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
