Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=32>(float*, float*)",3,172753,8,256,0,1148000000,83.333,0.369,12.5,0.208,63813,32.49,88.333,0.366,71.574,0.112,21502,4592000000,43690,7462000000,1,1,1387,5549,9017,693,0,63813
"void sumKernelStr2<int=32>(float*, float*)",3,206521,8,256,0,1888000000,50,0.383,12.5,0.176,70749,21.991,97.667,0.335,74.921,0.113,20808,6135000000,43690,10856000000,1.627,1.513,1387,4855,9017,693,10400,70749
