Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",95799098,81151,,,,,,,,,,524288,6460647435,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=512>(float*, float*)",95883925,408381,128,1,1,512,1,1,8,4096,0,,,2810871668,50,4.35,12.5,0.452,309632,21.112,151.188,1.03,99.228,0.969,90368,9794130971,130944,16821310143,4.288,5.247,4096,6656,9344,128,59520,309632
"void sumKernelStr2<int=512>(float*, float*)",96293187,3541,1,1,1,64,1,1,8,4096,0,,,219931271,50,0.091,12.5,0.015,227,21.537,113.5,0.08,32.035,0.042,66,742268041,127,1292096219,2.7,2.765,4,10,17,1,45,227
"Memcpy DtoH [sync]",96450284,1248,,,,,,,,,,4,3205128,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",100338260,81566,,,,,,,,,,524288,6427776279,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=512>(float*, float*)",100423010,247126,128,1,1,512,1,1,8,4096,0,,,2584481908,100,6.951,12.5,0.822,272768,90.736,133.188,1.671,98.6,0.953,92416,5492024055,130944,5895849354,1,1,4096,8704,9344,128,0,272768
"void sumKernelStr3<int=512>(float*, float*)",100671039,2738,1,1,1,64,1,1,8,4096,0,,,150234741,100,0.091,12.5,0.029,203,54.957,101.5,0.093,48.238,0.042,68,450704225,127,638497652,1,1,4,12,17,1,0,203
"Memcpy DtoH [sync]",100849385,1536,,,,,,,,,,4,2604166,,,,,,,,,,,,,,,,,,,,,,,
