Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",100113941,1151422,,,,,,,,,,4194304,3642716571,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=512>(float*, float*)",101269224,3276499,1024,1,1,512,1,1,8,4096,0,,,2834430632,50,4.406,12.5,0.455,2477056,21.112,151.188,1.035,99.903,0.978,722944,9876262485,1047552,16962295817,4.288,5.247,32768,53248,74752,1024,476160,2477056
"void sumKernelStr2<int=512>(float*, float*)",104546603,8283,1,1,1,512,1,1,8,4096,0,,,915614172,50,0.732,12.5,0.12,2419,21.112,151.188,0.371,73.737,0.332,706,3190343131,1023,5479378562,4.288,5.247,32,52,73,1,465,2419
"Memcpy DtoH [sync]",104694573,960,,,,,,,,,,4,4166666,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",109000229,1079806,,,,,,,,,,4194304,3884312552,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=512>(float*, float*)",110083475,1961471,1024,1,1,512,1,1,8,4096,0,,,2630954188,100,7.182,12.5,0.843,2182144,90.736,133.188,1.696,99.821,0.956,739328,5590777649,1047552,6001864241,1,1,32768,69632,74752,1024,0,2182144
"void sumKernelStr3<int=512>(float*, float*)",112045837,4031,1,1,1,512,1,1,8,4096,0,,,861046878,100,1.597,12.5,0.198,2131,90.736,133.188,0.699,56.709,0.331,722,1829724616,1023,1964263191,1,1,32,68,73,1,0,2131
"Memcpy DtoH [sync]",112152895,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
