Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",108179646,81120,,,,,,,,,,524288,6463116370,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=1024>(float*, float*)",108264296,782344,64,1,1,1024,1,1,8,8192,0,,,1421643753,50,2.038,12.5,0.228,336064,21.082,164.094,0.57,98.361,0.662,98432,4964820087,131008,8518755931,4.47,5.599,4096,6400,8768,64,60480,336064
"void sumKernelStr2<int=1024>(float*, float*)",109047639,3352,1,1,1,32,1,1,8,8192,0,,,135021097,50,0.055,12.5,0.015,102,22.049,102,0.043,46.572,0.021,30,438818565,63,776371308,1.857,1.769,2,7,13,1,15,102
"Memcpy DtoH [sync]",109165502,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",112709280,81184,,,,,,,,,,524288,6458021284,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=1024>(float*, float*)",112793683,364753,64,1,1,1024,1,1,8,8192,0,,,1658236655,100,4.176,12.5,0.53,295104,95.144,144.094,1.188,96.436,0.657,100480,3420113102,131008,3549662841,1,1,4096,8448,8768,64,0,295104
"void sumKernelStr3<int=1024>(float*, float*)",113159480,2978,1,1,1,32,1,1,8,8192,0,,,71309192,100,0.044,12.5,0.015,92,37.798,92,0.045,46.621,0.021,31,285236768,63,463509749,1,1,2,8,13,1,0,92
"Memcpy DtoH [sync]",113272640,1248,,,,,,,,,,4,3205128,,,,,,,,,,,,,,,,,,,,,,,
