Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",94140086,1231755,,,,,,,,,,4194304,3405144691,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=128>(float*, float*)",95375378,2348993,4096,1,1,128,1,1,8,1024,0,,,3969101168,50,2.652,12.5,0.635,2060288,21.292,125.75,1.204,99.864,0.641,598016,13643785267,1044480,23566538189,3.438,3.8,32768,65536,102400,4096,430080,2060288
"void sumKernelStr2<int=128>(float*, float*)",97725206,11149,16,1,1,128,1,1,8,1024,0,,,2988962875,50,2.612,12.5,0.405,8048,21.292,125.75,1.008,77.677,0.61,2336,10274559883,4080,17746967071,3.438,3.8,128,256,400,16,1680,8048
"void sumKernelStr2<int=128>(float*, float*)",97737185,1807,1,1,1,8,1,1,8,1024,0,,,75205640,25,0.035,12.5,0.004,76,12.917,76,0.039,46.534,0.021,22,225616921,15,338425381,1.2,1,2,5,9,1,0,76
"Memcpy DtoH [sync]",97863317,928,,,,,,,,,,4,4310344,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",102224024,1162510,,,,,,,,,,4194304,3607972404,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=128>(float*, float*)",103389870,1679336,4096,1,1,128,1,1,8,1024,0,,,3115023216,100,3.713,12.5,0.997,1830912,70.972,111.75,1.68,99.786,0.625,614400,7787558040,1044480,9734447550,1,1,32768,81920,102400,4096,0,1830912
"void sumKernelStr3<int=128>(float*, float*)",105070038,8143,16,1,1,128,1,1,8,1024,0,,,2000000000,100,2.91,12.5,0.53,7152,70.972,111.75,1.275,70.848,0.623,2400,5000000000,4080,6250000000,1,1,128,320,400,16,0,7152
"void sumKernelStr3<int=128>(float*, float*)",105079011,1718,1,1,1,8,1,1,8,1024,0,,,81424936,25,0.038,12.5,0.004,70,12.917,70,0.037,43.2,0.021,23,244274809,15,366412213,1,1,2,6,9,1,0,70
"Memcpy DtoH [sync]",105192056,1568,,,,,,,,,,4,2551020,,,,,,,,,,,,,,,,,,,,,,,
