Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",94652056,159869,,,,,,,,,,1048576,6558970156,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=128>(float*, float*)",94815625,589578,1024,1,1,128,1,1,8,1024,0,,,3942207701,50,2.647,12.5,0.629,515072,21.292,125.75,1.196,99.459,0.639,149504,13551338975,261120,23406858229,3.438,3.8,8192,16384,25600,1024,107520,515072
"void sumKernelStr2<int=128>(float*, float*)",95406035,5083,4,1,1,128,1,1,8,1024,0,,,1385421951,50,0.835,12.5,0.17,2012,21.292,125.75,0.516,62.644,0.325,584,4762387958,1020,8225942837,3.438,3.8,32,64,100,4,420,2012
"void sumKernelStr2<int=128>(float*, float*)",95411950,1447,1,1,1,2,1,1,8,1024,0,,,85106382,6.25,0.03,12.5,0.001,50,4.861,50,0.032,40.113,0.021,14,170212765,3,212765957,1.333,1,2,3,5,1,0,50
"Memcpy DtoH [sync]",95617313,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",99599712,160188,,,,,,,,,,1048576,6545908557,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=128>(float*, float*)",99762891,422091,1024,1,1,128,1,1,8,1024,0,,,3089690287,100,3.689,12.5,0.983,457728,70.972,111.75,1.667,99.153,0.624,153600,7724225718,261120,9655282147,1,1,8192,20480,25600,1024,0,457728
"void sumKernelStr3<int=128>(float*, float*)",100185814,3483,4,1,1,128,1,1,8,1024,0,,,1003921568,100,1.171,12.5,0.23,1788,70.972,111.75,0.694,49.329,0.319,600,2509803921,1020,3137254901,1,1,32,80,100,4,0,1788
"void sumKernelStr3<int=128>(float*, float*)",100190127,1393,1,1,1,2,1,1,8,1024,0,,,86779661,6.25,0.03,12.5,0.001,48,4.861,48,0.032,39.275,0.021,15,173559322,3,216949152,1,1,2,4,5,1,0,48
"Memcpy DtoH [sync]",100377965,1856,,,,,,,,,,4,2155172,,,,,,,,,,,,,,,,,,,,,,,
