Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",115017687,163420,,,,,,,,,,1048576,6416448415,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=512>(float*, float*)",115184020,811956,256,1,1,512,1,1,8,4096,0,,,2827169597,50,4.313,12.5,0.453,619264,21.112,151.188,1.03,99.63,0.975,180736,9850919066,261888,16918843060,4.288,5.247,8192,13312,18688,256,119040,619264
"void sumKernelStr2<int=512>(float*, float*)",115996820,4531,1,1,1,128,1,1,8,4096,0,,,388467374,50,0.167,12.5,0.045,503,21.292,125.75,0.152,61.836,0.083,146,1335356600,255,2306525037,3.438,3.8,8,16,25,1,105,503
"Memcpy DtoH [sync]",116197403,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",120169215,163356,,,,,,,,,,1048576,6418962266,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=512>(float*, float*)",120335186,492926,256,1,1,512,1,1,8,4096,0,,,2605474952,100,7.004,12.5,0.834,545536,90.736,133.188,1.678,99.322,0.955,184832,5536634273,261888,5943739734,1,1,8192,17408,18688,256,0,545536
"void sumKernelStr3<int=512>(float*, float*)",120828976,2955,1,1,1,128,1,1,8,4096,0,,,277056277,100,0.197,12.5,0.058,447,70.972,111.75,0.218,51.125,0.083,150,692640692,255,865800865,1,1,8,20,25,1,0,447
"Memcpy DtoH [sync]",121001643,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
