Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",99429852,321170,,,,,,,,,,2097152,6529725690,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=32>(float*, float*)",99754896,2419739,8192,1,1,32,1,1,8,256,0,,,1907806063,50,0.552,12.5,0.302,835584,22.049,102,0.47,99.864,0.157,245760,6200369707,516096,10969884866,1.857,1.769,16384,57344,106496,8192,122880,835584
"void sumKernelStr2<int=32>(float*, float*)",102175468,38686,128,1,1,32,1,1,8,256,0,,,1774120194,50,0.534,12.5,0.267,13056,22.049,102,0.454,92.344,0.157,3840,5765890633,8064,10201191120,1.857,1.769,256,896,1664,128,1920,13056
"void sumKernelStr2<int=32>(float*, float*)",102214988,2207,2,1,1,32,1,1,8,256,0,,,242826654,50,0.088,12.5,0.027,204,22.049,102,0.08,51.937,0.042,60,789186625,126,1396253260,1.857,1.769,4,14,26,2,30,204
"void sumKernelStr2<int=32>(float*, float*)",102218027,1267,1,1,1,1,1,1,8,256,0,,,97560975,3.125,0.022,12.5,0,37,3.125,37,0.023,40.539,0.021,10,146341463,1,146341463,1.5,1,2,2,3,1,0,37
"Memcpy DtoH [sync]",102412603,928,,,,,,,,,,4,4310344,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",106703617,321362,,,,,,,,,,2097152,6525824459,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=32>(float*, float*)",107028365,2023779,8192,1,1,32,1,1,8,256,0,,,1161561685,100,0.529,12.5,0.367,753664,37.798,92,0.516,99.835,0.155,253952,4646246743,516096,7550150958,1,1,16384,65536,106496,8192,0,753664
"void sumKernelStr3<int=32>(float*, float*)",109052977,32386,128,1,1,32,1,1,8,256,0,,,1066909777,100,0.514,12.5,0.317,11776,37.798,92,0.492,90.565,0.156,3968,4267639110,8064,6934913554,1,1,256,1024,1664,128,0,11776
"void sumKernelStr3<int=32>(float*, float*)",109086196,1829,2,1,1,32,1,1,8,256,0,,,149532710,100,0.08,12.5,0.029,184,37.798,92,0.082,48.732,0.042,62,598130841,126,971962616,1,1,4,16,26,2,0,184
"void sumKernelStr3<int=32>(float*, float*)",109088855,1229,1,1,1,1,1,1,8,256,0,,,85475792,3.125,0.022,12.5,0,37,3.125,37,0.024,39.907,0.021,11,128213689,1,128213689,1,1,2,3,3,1,0,37
"Memcpy DtoH [sync]",109262706,1312,,,,,,,,,,4,3048780,,,,,,,,,,,,,,,,,,,,,,,
