Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",88388358,159992,,,,,,,,,,1048576,6553927696,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=1024>(float*, float*)",88551915,1564252,128,1,1,1024,1,1,8,8192,0,,,1423910179,50,2.037,12.5,0.229,672128,21.082,164.094,0.571,98.542,0.662,196864,4972561331,262016,8532336781,4.47,5.599,8192,12800,17536,128,120960,672128
"void sumKernelStr2<int=1024>(float*, float*)",90117166,3541,1,1,1,64,1,1,8,8192,0,,,225998675,50,0.099,12.5,0.027,227,21.537,113.5,0.08,52.808,0.042,66,762745530,127,1327742220,2.7,2.765,4,10,17,1,45,227
"Memcpy DtoH [sync]",90346574,1312,,,,,,,,,,4,3048780,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",94360825,160089,,,,,,,,,,1048576,6549956586,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=1024>(float*, float*)",94524005,728775,128,1,1,1024,1,1,8,8192,0,,,1661613256,100,4.189,12.5,0.532,590208,95.144,144.094,1.189,96.863,0.657,200960,3427077341,262016,3556890877,1,1,8192,16896,17536,128,0,590208
"void sumKernelStr3<int=1024>(float*, float*)",95253768,2782,1,1,1,64,1,1,8,8192,0,,,144796380,100,0.105,12.5,0.031,203,54.957,101.5,0.093,44.423,0.042,68,434389140,127,615384615,1,1,4,12,17,1,0,203
"Memcpy DtoH [sync]",95439401,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
