Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=1024>(float*, float*)",2,1455353,8,8192,0,1664000000,100,2.356,12.5,0.321,1180905,89.09,133.234,0.778,74.872,0.411,402085,3435000000,524287,3565000000,1,1,16392,33810,35092,256,0,1180905
"void sumKernelStr2<int=1024>(float*, float*)",2,3129275,8,8192,0,1424000000,50,1.173,12.5,0.152,1344809,21.127,151.234,0.401,78.897,0.414,393889,4974000000,524287,8535000000,4.217,5.129,16392,25614,35092,256,242032,1344809
