Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=512>(float*, float*)",2,982751,8,4096,0,2626000000,100,4.389,12.5,0.521,1092137,90.736,133.188,1.198,78.265,0.643,370025,5582000000,524287,5992000000,1,1,16400,34850,37412,512,0,1092137
"void sumKernelStr2<int=512>(float*, float*)",2,1642391,8,4096,0,2829000000,50,2.569,12.5,0.287,1239737,21.112,151.188,0.703,86.82,0.655,361825,9859000000,524287,16933000000,4.288,5.247,16400,26650,37412,512,238312,1239737
