Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",106213902,321170,,,,,,,,,,2097152,6529725690,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=128>(float*, float*)",106538896,1175644,2048,1,1,128,1,1,8,1024,0,,,3958541203,50,2.65,12.5,0.633,1030144,21.292,125.75,1.202,99.728,0.641,299008,13607485385,522240,23503838392,3.438,3.8,16384,32768,51200,2048,215040,1030144
"void sumKernelStr2<int=128>(float*, float*)",107715373,6353,8,1,1,128,1,1,8,1024,0,,,2433749257,50,2.51,12.5,0.309,4024,21.274,125.75,0.866,66.071,0.623,1168,8385026737,2040,14450386215,3.438,3.8,64,128,200,8,840,4024
"void sumKernelStr2<int=128>(float*, float*)",107722575,1627,1,1,1,4,1,1,8,1024,0,,,86486486,12.5,0.035,12.5,0.002,63,7.812,63,0.035,42.217,0.021,18,216216216,7,302702702,1.25,1,2,4,7,1,0,63
"Memcpy DtoH [sync]",107946242,928,,,,,,,,,,4,4310344,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",112793039,321170,,,,,,,,,,2097152,6529725690,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=128>(float*, float*)",113117539,841562,2048,1,1,128,1,1,8,1024,0,,,3107296951,100,3.692,12.5,0.993,915456,70.972,111.75,1.677,99.574,0.625,307200,7768242378,522240,9710302972,1,1,16384,40960,51200,2048,0,915456
"void sumKernelStr3<int=128>(float*, float*)",113959936,4638,8,1,1,128,1,1,8,1024,0,,,1578724224,100,3.046,12.5,0.395,3576,70.972,111.75,1.059,56.591,0.627,1200,3946810560,2040,4933513201,1,1,64,160,200,8,0,3576
"void sumKernelStr3<int=128>(float*, float*)",113965451,1556,1,1,1,4,1,1,8,1024,0,,,88888888,12.5,0.034,12.5,0.002,59,7.812,59,0.036,41.525,0.021,19,222222222,7,311111111,1,1,2,5,7,1,0,59
"Memcpy DtoH [sync]",114144052,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
