Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",105757316,80956,,,,,,,,,,524288,6476209298,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=32>(float*, float*)",105841803,607319,2048,1,1,32,1,1,8,256,0,,,1898098418,50,0.552,12.5,0.299,208896,22.049,102,0.468,99.468,0.157,61440,6168819861,129024,10914065908,1.857,1.769,4096,14336,26624,2048,30720,208896
"void sumKernelStr2<int=32>(float*, float*)",106449953,10263,32,1,1,32,1,1,8,256,0,,,1648455579,50,0.557,12.5,0.22,3264,22.049,102,0.483,73.918,0.161,960,5357480631,2016,9478619579,1.857,1.769,64,224,416,32,480,3264
"void sumKernelStr2<int=32>(float*, float*)",106461062,1983,1,1,1,16,1,1,8,256,0,,,82767539,50,0.042,12.5,0.008,89,21.875,89,0.053,51.379,0.021,26,289686388,31,455221467,1.167,1,2,6,11,1,0,89
"Memcpy DtoH [sync]",106661184,1376,,,,,,,,,,4,2906976,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",110646213,81117,,,,,,,,,,524288,6463355400,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=32>(float*, float*)",110730360,507695,2048,1,1,32,1,1,8,256,0,,,1155089073,100,0.527,12.5,0.364,188416,37.798,92,0.514,99.331,0.155,63488,4620356294,129024,7508078978,1,1,4096,16384,26624,2048,0,188416
"void sumKernelStr3<int=32>(float*, float*)",111238885,8684,32,1,1,32,1,1,8,256,0,,,974889920,100,0.54,12.5,0.253,2944,37.798,92,0.533,70.401,0.159,992,3899559681,2016,6336784481,1,1,64,256,416,32,0,2944
"void sumKernelStr3<int=32>(float*, float*)",111248405,1881,1,1,1,16,1,1,8,256,0,,,83333333,50,0.041,12.5,0.008,81,21.875,81,0.051,44.989,0.021,27,291666666,31,458333333,1,1,2,7,11,1,0,81
"Memcpy DtoH [sync]",111425542,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
