Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=32>(float*, float*)",4,1028183,8,256,0,1160000000,76.562,0.311,12.5,0.192,382824,29.563,81,0.31,71.571,0.104,128994,4643000000,262143,7544000000,1,1,8322,33289,54094,4161,0,382824
"void sumKernelStr2<int=32>(float*, float*)",4,1228798,8,256,0,1906000000,39.062,0.333,12.5,0.161,424434,17.752,89,0.287,71.919,0.105,124833,6195000000,262143,10962000000,1.726,1.577,8322,29127,54094,4161,62415,424434
