Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=1024>(float*, float*)",2,183865,8,8192,0,1645000000,100,2.11,12.5,0.273,147598,66.471,118.047,0.617,71.528,0.339,50255,3394000000,65535,3524000000,1,1,2049,4228,4390,32,0,147598
"void sumKernelStr2<int=1024>(float*, float*)",2,392848,8,8192,0,1415000000,50,1.047,12.5,0.122,168083,21.565,133.047,0.307,72.467,0.342,49231,4944000000,65535,8484000000,3.164,3.684,2049,3203,4390,32,30247,168083
