Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"void sumKernelStr3<int=1024>(float*, float*)",2,729152,8,8192,0,1660000000,100,2.197,12.5,0.295,590431,83.058,127.922,0.704,73.554,0.37,201035,3425000000,262143,3555000000,1,1,8196,16906,17548,128,0,590431
"void sumKernelStr2<int=1024>(float*, float*)",2,1565762,8,8192,0,1422000000,50,1.103,12.5,0.137,672379,21.187,144.922,0.362,79.714,0.373,196937,4969000000,262143,8527000000,3.954,4.699,8196,12808,17548,128,121012,672379
